nummer;frage;antwort1;antwort2;antwort3;richtig
1;Was ist Google?;Eine neue Prozessorgeneration, die sich durch einen günstigen Preis, eine hohe Rechenleistung und eine äußerst geringe Wärmeentwicklung auszeichnet.;Ein ISP (Internet Service Provider) der die Flatrate für deutlich günstiger als 10 Euro pro Monat anbietet.;Eine Suchmaschine im Internet.;3
2;Wozu dient das Carnivore-System?;Es handelt sich bei dem System um ein frei verfügbares Hackertool, mit dem Mailserver geknackt werden können .;Das Carnivore-System wird vom FBI als Überwachungswerkzeug zum Belauschen des E-Mail-Verkehrs eingesetzt.;Datenschützer setzen das Carnivore-System seit 1990 regelmäßig ein, um Verstöße gegen den Datenschutz aufzuspüren.;2
3;Wie wird der Verantwortliche für den Aufbau, sowie für das ordnungsgemäße Funktionieren eines Internetservers genannt?;Webking;Webservant;Webmaster;3
4;Welches Obst symbolisiert einen sehr populären Computer, der im Mai 1976 den Homecomputermarkt revolutionierte?;Angebissener Apfel;Halbverdaute Banane;Angefaulte Ananas;1
5;Was ist Bluetooth?;Eine Technologie zur schmerzfreien Zahnextraktion von IBM (Big Blue);Eine Technologie zur drahtlosen Kommunikation zwischen diversen mobilen Geräten;"Eine Technologie, welche die 30-fache Bandbreite des weit verbreiteten ""USB 1.1 Standards"" für die Anbindung von Peripheriegeräten zur Verfügung stellt und sich inzwischen als Standard für den schnellen Datentransfer etabliert hat.";2
6;Was heißt RISC?;Raptored Intarigan Stragen Captative;Reduced Intelligence System Consultant;Reduced Instruction Set Computer;3
7;Wofür steht die Abkürzung „IDS“ im Bereich der IT-Sicherheit?;Intrusion Detection System;Integrierter Daten Schutz;Invisible Data Storage;1
8;Mit welcher Maßeinheit wird die vertikale Frequenz bei Monitore angegeben?;Herz;Milz;Hertz;3
9;Wofür steht die Abkürzung URL ?;Uniform Ressource Locator;Uniform Retorte Locator;Uniform Ressource Labyrinth;1
10;Was ist eigentlich ASCII ?;ASCII wird von Prozessoren ausschließlich intern zur schnelleren Abarbeitung von Programmecode eingesetzt.;Mittels ASCII können Daten auf ein Minimum komprimiert werden.;ASCII ist ein amerikanischer Code zum Austausch von Informationen.;3
11;Mit welchem Programm schützen Sie Ihren Computer vor unerlaubten Zugriffen aus dem Internet?;Textverarbeitung;Firewall;Verschlüsselungsprogramm;2
12;Was sind „gezippte“ Dateien?;Dateien, die mit einem so genannten Packprogramm komprimiert sind.;Es handelt sich bei gezippten Dateien um Dateien, die ausschließlich vom Betriebssystem verwendet werden.;Gezippte Dateien enthalten Umsatzstatistiken, so genannte Zipps, die im Regelfall nicht der Realität entsprechen.;1
13;Was versteht man unter einem Freemailer?;Anwender die sich so frei fühlen, auch unerwünschte Werbe-EMail an etliche EMail-Adressen zu versenden.;Ein E-Mail-Programm, das frei verfügbar aus dem Internet zu bekommen ist.;Einen Anbieter von kostenlosen E-Mail-Diensten;3
14;Was bedeutet das Kürzel PDA?;Personal Digital Assistant;Private Daten Analyse;Partial Destructive Assailant;1
15;Wozu benötigt man ein Modem beim Computer?;Zur Leistungssteigerung des Prozessors durch Minimierung der Waitstates;Um die Darstellungsqualität einer Grafikkarte zu verbessern (Modem = MOderate Darstellungsverbesserung Eines Monitors).;Um Daten des Computers zu versenden, respektive zu empfangen.;3
16;"Was sind ""Waitstates""?";Die Wartezeit, bis der Computer vollständig gestartet ist.;Kleine Wartepausen zwischen zwei Zugriffen auf den Speicher bzw. Bus;Die Erholungszeit, die ein Computer zwischen dem Zugriff zweier verschiedner Programme benötigt.;2
